date,headline,ticker,source,sentiment_label,compound
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,AAPL,Yahoo RSS,negative,-0.824801504611969
2026-06-15 15:13:10,Alphabet shares jump 3% as cloud services and AI demand accelerate - eciks.org,GOOGL,Google RSS,positive,0.7070010304450989
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,GOOGL,Yahoo RSS,negative,-0.824801504611969
2026-06-15 14:06:33,9 New 4-Star Stocks This Week - Morningstar,AMZN,Google RSS,neutral,0.0
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,AMZN,Yahoo RSS,negative,-0.824801504611969
2026-06-17 20:15:25,"Nasdaq, US stocks slide as Fed forecasts possible rate hike",AMZN,Yahoo RSS,negative,-0.916667938232422
2026-06-17 14:46:15,Tech stocks face mixed fortunes: Broadcom surges while Microsoft tumbles - investingLive,MSFT,Google RSS,negative,-0.8509318828582764
2026-06-15 15:15:27,"MSFT shares climb despite 17% YTD decline, with valuation models suggesting significant recovery potential - eciks.org",MSFT,Google RSS,positive,0.8959230184555054
2026-06-15 12:05:00,Microsoft: Falling Knife or Once-in-a-Decade Buying Opportunity? - The Motley Fool,MSFT,Google RSS,neutral,0.0
2026-06-17 19:20:00,"Salesforce, Microsoft Share Losses Contribute To Dow's 312-Point Drop - 富途牛牛",MSFT,Google RSS,negative,-0.9722765684127808
2026-06-15 14:01:24,12 New 5-Star Stocks This Week - Morningstar,MSFT,Google RSS,neutral,0.0
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,MSFT,Yahoo RSS,negative,-0.824801504611969
2026-06-17 20:15:25,"Nasdaq, US stocks slide as Fed forecasts possible rate hike",MSFT,Yahoo RSS,negative,-0.916667938232422
2026-06-17 09:21:01,Nvidia stock dips as $25 billion bond sale spikes AI debt market - TechStock²,NVDA,Google RSS,negative,-0.9489608407020568
2026-06-17 15:00:00,Vultr taps HPE and NVIDIA for global AI cloud buildout - Stock Titan,NVDA,Google RSS,positive,0.7548690438270569
2026-06-18 00:36:36,Nvidia NVDA Stock Risks Falling Below $200 as Geopolitical and Competition Risks Build - FXLeaders,NVDA,Google RSS,negative,-0.9332082271575928
2026-06-17 15:31:00,"Tesla Defies Auto Industry Sales Slump, Goldman Raises Q2 Delivery Forecast - Investor's Business Daily",TSLA,Google RSS,neutral,0.0
2026-06-16 09:47:02,Goldman Sachs raises Tesla stock delivery forecast on Europe strength - Investing.com,TSLA,Google RSS,neutral,0.0
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,TSLA,Yahoo RSS,negative,-0.824801504611969
2026-06-16 12:10:00,Meta Platforms (NASDAQ: META) Stock Price Surges 4.7% As Hormuz Peace Deal Sends Yields And Oil Prices Lower - foreignpolicyjournal.com,META,Google RSS,negative,-0.7163490056991577
2026-06-17 21:29:51,"Stock Market Today, June 17: Stocks Slide on Fed Rate Hike Fears",META,Yahoo RSS,negative,-0.9643583297729492
2026-06-17 20:35:47,Stocks Retreat as Fed Signals Possible Higher Interest Rates,META,Yahoo RSS,negative,-0.824801504611969
2026-06-17 20:15:25,"Nasdaq, US stocks slide as Fed forecasts possible rate hike",META,Yahoo RSS,negative,-0.916667938232422
2026-06-16 11:03:28,"Strategic Global Advisors LLC Raises Stock Position in Netflix, Inc. $NFLX - MarketBeat",NFLX,Google RSS,positive,0.9094496369361876
2026-06-18 02:19:52,"Dow, S&P 500, Nasdaq Futures Climb On US-Iran Agreement Despite Hawkish Fed Outlook: RUM, INTC, NFLX, RXT In Focus",NFLX,Yahoo RSS,positive,0.6272268891334534
2026-06-16 19:37:39,Sector Update: Consumer Stocks Mixed Late Afternoon,NFLX,Yahoo RSS,negative,-0.935252010822296
2026-06-18 11:42:00,Why Higher Apple Prices Are Sending Micron Stock to a Record High - Barron's,AAPL,Google RSS,neutral,0.0
2026-06-18 13:00:20,Higher Apple prices are sending Micron stock to a record high - MacDailyNews,AAPL,Google RSS,negative,-0.5875169634819031
2026-06-18 11:59:50,Dow Jones Futures Rise After Warsh's Fed Hits Stocks; SpaceX Falls As Robinhood Jumps,AAPL,Yahoo RSS,negative,-0.4388029873371124
2026-06-18 11:42:00,Why Higher Apple Prices Are Sending Micron Stock to a Record High,AAPL,Yahoo RSS,neutral,0.0
2026-06-18 11:27:36,"Stocks Rise Pre-Bell as US, Iran Sign Peace Deal; Traders Assess Fed Rate Decision",AAPL,Yahoo RSS,positive,0.7044746279716492
2026-06-18 12:48:09,SpaceX stock slips after breaking three-day winning streak,AMZN,Yahoo RSS,negative,-0.957085132598877
2026-06-18 09:00:00,DuLac Farmaceutici Reports Strong Amazon Consumer Demand Ahead of Broader U.S. Expansion,AMZN,Yahoo RSS,positive,0.9534220695495604
2026-06-17 14:26:34,"‘Cheap for a Reason,’ Says Investor About Microsoft Stock - TipRanks",MSFT,Google RSS,neutral,0.0
2026-06-18 12:48:09,SpaceX stock slips after breaking three-day winning streak,MSFT,Yahoo RSS,negative,-0.957085132598877
2026-06-18 08:00:40,"The Zacks Analyst Blog Highlights NVIDIA, Oracle, Home Depot, Catalyst Bancorp and Hour Loop - Zacks Investment Research",NVDA,Google RSS,neutral,0.0
2026-06-18 07:56:29,Nvidia NVDA Stock Risks Falling Below $200 as the Geopolitical and Competition Risks Build - FXLeaders,NVDA,Google RSS,negative,-0.9588388800621032
2026-06-18 12:30:00,Exchange Traded Concepts Announces Launch of PurePlay Nvidia Ecosystem Picks & Shovels Index ETF (Nasdaq: NVPS) with PurePlay ETFs,NVDA,Yahoo RSS,neutral,0.0
2026-06-18 11:27:36,"Stocks Rise Pre-Bell as US, Iran Sign Peace Deal; Traders Assess Fed Rate Decision",META,Yahoo RSS,positive,0.7044746279716492
2026-06-18 15:21:32,"‘Don’t Bet Against It,’ Says Investor About Microsoft Stock - TipRanks",MSFT,Google RSS,neutral,0.0
2026-06-18 13:36:56,Microsoft (MSFT) Sees Strong Options Activity Amid Growing Open Interest - GuruFocus,MSFT,Google RSS,positive,0.9531510472297668
2026-06-16 16:24:00,Pension fund claims Microsoft duped investors about AI growth,MSFT,Bing RSS,negative,-0.9315103888511658
2026-06-18 17:14:51,Floating Rate Loans Sounded Safe Until The Fed Started Cutting Rates,NVDA,Yahoo RSS,negative,-0.4585524499416351
2026-06-18 17:05:00,2 Industrial Stocks Pay Growing Dividends and Are Worth Buying Now,NVDA,Yahoo RSS,positive,0.8054944276809692
2026-06-17 15:52:47,Tesla stock slips below $400: why upbeat EV sales estimates are not helping - TradingView,TSLA,Google RSS,negative,-0.5370069146156311
2026-06-17 09:16:00,Tesla stock slips below $400: why upbeat EV sales estimates are not helping,TSLA,Bing RSS,neutral,0.0
2026-06-18 20:19:52,US Equity Markets Close Higher as Chipmakers Surge; US and Iran Sign Hormuz Deal,AAPL,Yahoo RSS,positive,0.915304958820343
2026-06-18 20:05:00,"With SpaceX Ready to Be Included in the Russell 1000 Index, Should You Buy the Vanguard Russell 1000 Growth Index (VONG) ETF?",NVDA,Yahoo RSS,neutral,0.0
2026-06-14 22:05:00,NFLX Stock Is Down 40% From All-Time High: Are Retail Investors Buying The Dip Or Leaving Battered Streamer?,NFLX,Bing RSS,negative,-0.9689890742301941
